,sex,Medu,Fedu,Mjob,Fjob,traveltime,failures,higher,internet,freetime,goout,health,absences,G3_class
91,F,4,3,services,other,1,0,yes,yes,5,5,1,4,1
92,F,3,1,other,other,1,0,yes,no,3,3,2,4,0
93,F,4,2,teacher,services,2,0,yes,yes,3,3,1,0,0
94,M,2,2,services,health,1,0,yes,yes,3,4,4,6,1
95,F,1,1,at_home,other,2,1,yes,yes,1,2,1,2,0
96,M,4,3,services,other,2,0,yes,yes,3,3,4,2,1
97,F,2,1,other,other,1,0,yes,no,3,5,5,2,0
98,F,4,4,other,other,1,0,yes,yes,3,4,1,6,1
99,F,4,3,other,at_home,1,0,yes,yes,3,5,3,0,0
100,M,4,4,services,services,1,0,yes,yes,5,5,4,14,0
101,M,4,4,services,teacher,1,0,yes,yes,4,3,4,0,1
102,M,4,4,services,other,1,0,yes,yes,3,3,5,4,1
103,F,3,2,services,other,2,0,yes,yes,3,5,2,26,0
104,M,3,4,services,other,1,0,yes,yes,4,4,1,0,1
105,F,3,3,other,health,1,0,yes,no,3,3,4,10,1
106,F,2,2,other,other,1,0,yes,yes,1,2,3,8,0
107,M,3,3,services,other,1,0,yes,yes,3,3,5,2,1
108,M,4,4,other,other,4,0,yes,yes,3,5,1,6,1
109,F,4,4,health,health,1,0,yes,yes,4,5,4,4,1
110,M,4,4,teacher,teacher,1,0,yes,yes,5,3,4,6,1
111,F,3,3,services,other,1,1,yes,yes,1,2,2,0,0
112,F,2,2,at_home,other,1,1,yes,yes,1,2,5,6,1
113,M,4,2,teacher,other,1,0,yes,yes,5,2,3,10,1
114,M,2,1,health,services,1,0,yes,yes,4,2,5,8,0
115,M,4,4,teacher,teacher,1,0,yes,yes,4,4,5,2,1
116,M,4,4,other,teacher,2,0,yes,no,4,3,2,2,1
117,M,3,3,other,services,2,0,yes,yes,4,2,5,0,1
118,M,1,3,other,other,3,1,yes,yes,2,4,5,20,0
119,M,3,4,other,other,1,0,yes,yes,4,3,4,6,1
120,F,1,2,at_home,services,1,0,yes,yes,2,3,1,2,1
121,M,2,2,services,services,1,0,yes,yes,5,4,5,6,1
122,F,2,4,other,health,2,0,yes,yes,2,2,5,2,1
123,M,4,4,health,other,1,0,yes,yes,4,4,5,18,1
124,F,2,2,other,other,1,0,yes,yes,4,4,5,0,0
125,M,3,4,services,services,1,0,yes,yes,5,5,5,0,1
126,F,3,4,other,other,1,0,yes,yes,3,2,1,0,1
127,F,0,1,at_home,other,1,3,no,no,4,2,5,2,0
128,M,2,2,services,other,1,2,yes,yes,3,3,4,0,0
129,M,4,4,teacher,teacher,1,0,yes,yes,5,5,4,8,1
130,F,3,4,services,teacher,2,2,yes,yes,2,2,5,0,0
131,F,1,1,at_home,other,3,0,yes,yes,3,3,4,0,0
132,F,2,2,other,other,1,0,yes,yes,4,4,5,12,1
133,F,3,4,services,other,1,0,yes,yes,2,1,5,16,1
134,M,3,4,at_home,teacher,4,0,yes,no,3,3,5,0,0
135,F,4,4,services,at_home,1,0,yes,yes,3,3,5,0,0
136,M,3,4,at_home,other,3,0,yes,no,4,5,5,0,0
137,F,3,3,other,other,2,2,yes,yes,3,2,5,0,0
138,M,1,1,services,other,1,1,yes,no,4,4,5,0,1
139,F,4,4,teacher,teacher,2,0,yes,yes,3,2,5,0,1
140,M,4,3,teacher,services,2,0,yes,yes,2,2,3,0,0
141,M,2,2,services,services,2,2,yes,yes,3,3,2,8,0
142,F,4,4,teacher,services,1,0,yes,yes,2,2,5,2,1
143,F,1,1,at_home,at_home,1,0,yes,yes,4,4,1,2,1
144,M,2,1,other,other,1,3,yes,yes,4,5,5,0,0
145,F,1,1,other,services,1,0,yes,yes,4,2,5,0,1
146,F,3,2,health,services,1,3,yes,yes,3,2,3,0,0
147,F,1,2,at_home,other,1,0,yes,yes,3,2,5,2,1
148,M,4,4,teacher,teacher,1,0,no,yes,3,2,5,0,0
149,M,2,1,services,other,4,3,yes,yes,5,5,5,0,0
150,M,1,1,other,other,1,3,no,yes,3,5,4,0,0
151,M,2,1,at_home,other,1,1,yes,no,4,4,5,6,1
152,F,3,3,services,services,2,2,yes,yes,2,1,3,8,0
153,M,3,2,services,at_home,1,3,no,yes,5,4,4,0,0
154,F,4,4,other,teacher,1,0,yes,no,2,1,4,0,1
155,M,2,3,at_home,services,1,0,yes,no,4,4,1,2,0
156,M,1,2,other,other,1,0,yes,no,2,2,5,8,1
157,F,1,1,at_home,other,3,3,yes,no,2,5,4,6,0
158,M,2,2,at_home,other,3,0,yes,no,2,2,3,2,1
159,M,3,3,other,services,1,1,yes,yes,5,5,5,4,1
160,M,2,1,at_home,other,2,2,no,yes,3,2,5,0,0
161,M,3,2,other,other,2,2,yes,yes,4,4,3,6,0
162,M,1,2,other,other,2,1,yes,no,4,4,5,0,0
163,M,1,3,at_home,services,1,0,no,yes,3,3,2,2,0
164,M,1,1,other,services,4,3,no,no,3,5,5,0,0
165,M,3,2,services,services,2,1,no,no,5,2,2,16,1
166,M,2,2,other,other,1,0,no,yes,3,5,4,4,0
167,F,4,2,health,services,1,0,yes,yes,2,3,3,0,1
168,F,2,2,other,other,1,0,yes,yes,1,5,4,0,0
169,F,4,4,health,health,1,0,yes,yes,4,2,3,0,1
170,M,3,4,other,other,3,2,yes,yes,4,5,2,0,0
171,M,1,0,other,other,2,0,yes,yes,3,2,3,2,1
172,M,4,4,teacher,other,1,0,yes,yes,4,4,5,0,0
173,F,1,3,at_home,services,1,3,yes,yes,3,5,3,0,0
174,F,3,3,other,other,2,0,yes,yes,4,5,4,4,0
175,M,4,3,teacher,other,2,0,yes,yes,4,4,4,4,0
176,F,2,2,services,other,2,0,yes,yes,4,4,5,2,1
177,M,3,3,other,other,1,0,yes,yes,3,4,4,4,0
178,M,4,2,teacher,services,1,0,yes,yes,3,3,3,10,0
179,M,4,3,other,other,1,0,yes,yes,2,3,2,4,1
180,M,4,3,teacher,other,1,0,yes,yes,4,3,3,10,0
181,M,3,3,services,other,1,0,yes,yes,2,3,3,2,1
182,F,2,4,services,services,1,0,yes,no,4,2,5,0,1
183,F,3,3,other,other,1,0,yes,yes,3,3,1,56,0
184,F,3,2,other,other,1,0,yes,yes,2,2,1,14,1
185,M,3,3,services,services,1,0,yes,yes,3,4,4,12,1
186,M,1,2,services,services,1,0,yes,yes,3,3,3,2,1
187,M,2,1,other,other,1,0,yes,yes,2,3,5,0,1
188,F,3,3,health,other,1,0,yes,yes,3,3,3,6,0
189,M,1,2,at_home,other,1,0,yes,no,1,3,3,4,0
190,F,2,3,services,services,1,0,yes,yes,3,3,2,10,1
191,F,1,1,at_home,services,1,0,yes,yes,3,3,3,0,0
192,M,1,2,at_home,services,2,0,yes,yes,4,4,5,12,0
193,M,3,3,services,services,1,0,yes,yes,3,2,5,8,0
194,M,2,3,other,other,2,0,yes,yes,3,3,3,0,1
195,F,2,4,services,services,1,0,yes,yes,3,2,5,0,1
196,M,4,4,services,teacher,1,0,yes,yes,2,3,5,4,1
197,M,3,3,teacher,other,3,0,yes,yes,3,4,3,8,0
198,F,4,4,services,teacher,2,1,yes,yes,2,4,2,24,1
199,F,4,4,teacher,teacher,1,0,yes,yes,5,2,3,0,0
200,F,4,3,health,other,1,0,yes,yes,3,5,2,2,1
201,F,2,3,other,other,1,0,yes,no,4,3,4,6,0
202,F,1,1,other,other,1,0,yes,no,4,4,1,4,0
203,F,2,2,other,other,1,0,yes,yes,3,2,3,18,0
204,F,2,2,services,services,2,0,yes,yes,3,5,5,6,1
205,F,3,4,at_home,services,1,1,yes,yes,4,3,5,28,0
206,F,3,1,services,other,1,3,yes,yes,3,3,4,5,0
207,F,4,3,teacher,other,1,0,yes,yes,3,2,1,10,1
208,F,1,1,at_home,other,2,0,yes,no,3,2,5,6,0
209,F,4,3,teacher,other,2,0,yes,yes,4,2,4,6,0
210,F,3,3,other,other,1,0,yes,yes,3,3,3,10,0
211,M,4,4,services,other,1,0,yes,yes,3,5,3,13,1
212,F,2,2,other,other,1,0,yes,yes,3,4,4,0,1
213,M,2,2,services,other,1,1,yes,yes,4,4,5,15,0
214,F,4,4,services,other,1,0,yes,no,2,1,3,12,0
215,F,3,2,other,other,2,0,yes,yes,4,4,1,2,1
216,F,4,3,other,other,1,2,yes,yes,4,5,1,22,0
217,M,3,3,services,health,1,1,yes,yes,2,4,4,13,0
218,F,2,3,at_home,other,2,0,yes,no,3,3,3,3,0
219,F,2,2,at_home,at_home,1,0,yes,yes,3,3,4,4,0
220,F,2,1,at_home,services,2,0,yes,yes,2,5,5,2,0
221,F,1,1,at_home,other,1,1,yes,no,3,4,5,0,0
222,F,2,3,services,teacher,1,0,yes,yes,3,1,3,2,1
223,M,2,2,other,other,2,0,yes,yes,3,3,4,0,1
224,F,4,4,teacher,services,1,0,yes,yes,3,2,5,0,1
225,F,3,1,other,other,1,1,yes,yes,3,3,4,16,0
226,F,3,2,other,other,1,0,yes,yes,3,4,3,10,1
227,M,2,3,services,services,1,0,yes,yes,3,3,3,2,1
228,M,2,1,at_home,other,4,0,yes,yes,3,2,3,14,0
229,F,2,1,other,other,2,0,yes,yes,2,3,3,10,1
230,F,4,3,health,other,1,0,yes,yes,2,3,3,14,1
231,M,2,2,other,other,2,0,yes,yes,5,2,1,4,1
232,M,4,4,teacher,teacher,1,0,yes,yes,5,5,2,14,0
233,M,4,4,health,other,1,0,yes,yes,2,4,1,2,1
234,M,1,1,other,other,2,0,yes,yes,4,2,5,18,0
235,M,3,2,at_home,other,2,0,yes,yes,3,3,2,10,0
236,M,2,2,other,other,1,0,yes,yes,4,2,4,4,1
237,F,2,1,other,other,1,0,yes,yes,5,2,5,20,1
238,F,2,1,at_home,services,3,0,yes,no,1,1,3,2,1
239,M,2,2,other,services,1,1,no,yes,5,4,2,0,0
240,M,4,3,health,other,2,0,yes,yes,5,5,5,14,1
241,M,4,4,teacher,other,2,0,yes,yes,3,3,4,2,1
242,M,4,3,teacher,other,1,0,yes,yes,4,5,3,0,0
243,M,4,4,services,services,1,0,yes,yes,3,2,5,0,1
244,F,2,1,other,other,2,0,yes,yes,4,4,3,0,0
245,M,2,1,other,other,3,0,yes,yes,3,3,4,6,1
246,M,2,3,other,other,2,0,yes,yes,2,2,2,4,1
247,M,3,1,services,services,1,3,no,yes,4,5,1,16,0
248,M,3,3,other,services,1,1,yes,yes,3,3,5,8,0
249,M,0,2,other,other,1,0,yes,yes,3,2,5,0,1
250,M,3,2,services,other,2,1,no,yes,4,5,5,0,0
251,M,3,3,at_home,other,3,0,yes,yes,3,3,2,6,0
252,M,2,1,services,services,1,1,no,yes,2,5,5,4,0
253,M,2,1,other,other,2,0,yes,no,3,2,3,0,0
254,M,2,1,other,other,1,0,yes,yes,4,2,5,0,1
255,M,1,1,health,other,2,1,yes,yes,4,4,5,2,0
256,F,4,2,teacher,services,1,0,yes,yes,2,3,4,6,1
257,M,4,3,services,at_home,1,0,yes,yes,3,1,1,12,1
258,M,2,1,other,other,1,0,yes,yes,2,4,4,8,1
259,F,2,2,services,services,1,0,yes,yes,4,1,2,0,0
260,F,4,3,services,other,1,0,yes,yes,1,2,2,21,1
261,M,4,3,teacher,other,1,0,yes,yes,3,2,3,2,0
262,M,3,2,other,other,1,0,yes,no,3,2,3,1,1
263,F,3,3,other,other,1,0,yes,no,2,3,4,4,0
264,F,2,2,at_home,services,1,0,yes,yes,3,3,3,0,0
265,M,3,4,other,other,2,0,yes,yes,2,5,1,13,1
266,M,3,1,services,other,1,0,yes,yes,4,4,5,2,0
267,F,4,4,teacher,other,2,0,yes,yes,3,4,4,8,1
268,M,4,2,health,other,1,0,yes,yes,4,5,5,10,0
269,F,2,1,other,other,2,0,no,yes,3,5,3,0,0
270,F,3,3,other,services,1,2,yes,yes,3,5,5,15,0
271,F,2,3,other,services,1,0,yes,yes,5,5,2,4,1
272,F,1,1,other,other,2,0,yes,no,4,3,3,2,1
273,M,1,2,at_home,at_home,1,0,yes,no,5,2,1,2,1
274,F,2,4,at_home,health,2,0,yes,yes,3,3,1,2,0
275,F,2,2,services,other,2,0,yes,yes,4,4,5,6,1
276,F,3,2,other,services,2,0,no,yes,1,1,5,75,0
277,M,4,4,teacher,services,2,0,yes,yes,2,4,3,22,0
278,F,4,4,health,health,1,1,yes,yes,4,4,4,15,0
279,M,4,3,teacher,services,2,0,yes,yes,2,3,1,8,0
280,M,4,1,services,other,2,0,yes,yes,5,4,5,30,0
281,M,3,2,teacher,services,1,1,yes,yes,4,4,3,19,0
282,F,1,1,at_home,other,2,0,yes,no,2,2,3,1,1
283,F,1,1,other,other,2,0,yes,yes,4,4,4,4,0
284,F,2,2,other,other,1,0,yes,yes,4,5,5,4,1
285,M,1,1,other,other,1,0,yes,yes,3,3,4,2,1
286,F,2,2,at_home,at_home,1,0,yes,yes,3,3,2,5,1
287,F,1,1,services,teacher,1,0,yes,yes,3,3,3,6,1
288,M,2,1,services,services,1,0,yes,yes,2,4,2,6,1
289,M,4,4,teacher,teacher,1,0,yes,yes,4,3,2,9,1
290,M,4,2,teacher,other,1,0,yes,yes,3,2,5,11,1
291,F,4,3,health,services,1,0,yes,yes,2,2,3,0,1
292,F,2,1,services,at_home,1,1,yes,yes,4,3,5,12,1
293,F,3,1,services,other,2,0,yes,no,1,2,3,6,1
294,M,3,2,services,other,2,0,yes,yes,4,2,4,8,1
295,M,3,3,health,other,1,0,yes,yes,4,3,5,4,1
296,F,4,4,health,other,2,0,yes,yes,3,4,2,0,0
297,F,4,3,other,other,2,0,yes,yes,4,5,2,10,0
298,F,4,3,other,other,1,0,yes,yes,3,3,3,0,1
299,M,4,4,teacher,teacher,1,0,yes,yes,4,2,1,5,1
300,F,4,4,health,other,1,0,yes,yes,2,4,4,14,1
301,M,4,4,other,teacher,2,0,yes,yes,1,1,5,0,0
302,F,4,2,other,other,2,0,yes,yes,3,3,3,0,1
303,F,3,2,health,health,1,0,yes,yes,2,2,5,0,1
304,M,3,3,other,other,1,1,yes,yes,4,4,3,20,1
305,F,2,4,services,at_home,1,1,yes,yes,4,3,3,8,1
306,M,3,2,services,other,1,0,yes,no,5,3,5,0,1
307,M,4,4,teacher,services,2,1,yes,yes,3,4,4,38,0
308,M,3,3,other,services,1,1,yes,no,5,3,5,0,1
309,F,1,1,at_home,other,1,1,yes,yes,4,3,3,18,0
310,F,1,2,services,services,1,1,yes,no,2,4,3,0,0
311,F,2,1,at_home,other,3,0,no,yes,4,1,2,20,1
312,M,1,2,other,services,1,1,yes,yes,5,2,4,3,1
313,F,3,2,services,other,2,1,yes,yes,2,2,1,22,1
314,F,1,1,at_home,health,1,2,yes,yes,1,2,3,14,1
315,F,2,3,other,other,1,1,yes,yes,1,2,3,40,1
316,F,2,1,services,other,2,0,yes,yes,3,3,1,0,0
317,F,4,3,other,other,1,0,yes,yes,3,4,5,9,0
318,F,3,4,at_home,services,1,0,yes,yes,3,4,5,0,0
319,F,4,4,teacher,other,1,0,yes,yes,4,4,5,2,1
320,F,4,3,services,services,1,0,yes,yes,2,2,5,23,1
321,F,2,2,other,other,1,0,yes,no,2,2,3,12,0
322,F,2,2,services,services,1,0,yes,yes,3,2,3,3,1
323,F,3,1,services,services,1,0,yes,yes,4,3,5,1,1
324,F,0,2,at_home,at_home,2,0,yes,yes,3,3,2,0,1
325,M,4,4,other,other,1,0,yes,yes,3,3,3,3,1
326,M,3,3,other,services,1,0,yes,yes,3,5,5,3,1
327,M,2,2,services,other,4,0,yes,yes,4,5,4,8,0
328,F,4,4,teacher,services,1,0,yes,yes,4,4,4,7,0
329,F,4,4,teacher,teacher,2,0,yes,yes,3,3,4,4,1
330,M,2,2,other,other,1,0,yes,yes,5,5,5,2,0
331,F,2,4,at_home,other,1,0,yes,yes,4,3,5,7,1
332,F,3,3,services,services,1,0,yes,yes,3,4,4,0,0
333,F,2,2,other,other,1,0,yes,yes,3,3,2,0,0
334,F,2,2,at_home,other,2,0,yes,no,4,4,4,0,0
335,F,3,4,services,other,1,0,yes,yes,4,5,5,16,1
336,F,3,1,services,at_home,1,1,yes,no,4,3,5,12,1
337,F,3,2,other,other,1,0,yes,yes,3,2,2,0,0
338,F,3,3,services,services,1,0,yes,yes,3,3,1,7,1
339,F,3,2,other,other,1,0,yes,yes,3,3,2,4,0
340,F,2,1,services,services,1,1,yes,yes,3,4,3,4,1
341,M,4,4,teacher,services,1,1,yes,yes,3,3,2,0,0
342,M,3,4,services,other,1,0,yes,yes,3,3,5,11,1
343,F,2,2,at_home,at_home,1,1,yes,yes,3,1,4,0,0
344,F,2,3,at_home,other,1,0,yes,yes,3,3,3,4,0
345,F,3,2,other,services,1,0,yes,yes,4,3,1,7,1
346,M,4,3,teacher,services,1,0,yes,yes,3,2,4,9,1
347,M,4,3,teacher,other,1,0,yes,yes,4,5,5,0,0
348,F,4,3,health,other,1,0,yes,yes,4,3,4,0,1
349,M,3,2,other,other,2,1,yes,yes,5,5,5,10,1
350,M,1,1,other,services,3,3,yes,yes,4,4,2,8,0
351,M,3,3,health,other,2,0,yes,yes,5,4,3,2,1
352,M,1,3,at_home,services,1,1,no,yes,3,3,3,7,0
353,M,1,1,other,other,3,1,yes,yes,4,4,5,4,0
354,M,4,3,services,other,2,0,yes,yes,5,5,2,4,1
355,F,3,3,services,services,1,0,yes,no,3,4,5,0,0
356,F,4,4,teacher,services,2,0,yes,yes,3,3,5,4,1
357,F,3,2,services,other,2,0,yes,no,2,3,5,2,1
358,M,1,1,other,services,2,0,yes,yes,3,2,3,4,0
359,F,1,1,at_home,services,2,0,yes,yes,3,2,4,0,1
360,F,1,4,at_home,other,3,0,yes,no,3,4,5,0,1
361,M,1,1,at_home,other,2,1,no,no,4,3,5,2,1
362,F,3,3,services,services,2,0,yes,yes,3,2,3,0,0
363,F,4,4,at_home,at_home,1,0,yes,yes,3,4,1,0,1
364,F,1,2,other,services,2,0,yes,no,2,2,3,0,1
365,M,1,3,at_home,other,2,0,yes,no,3,4,3,4,0
366,M,4,4,teacher,services,2,0,yes,yes,2,2,5,0,1
367,F,1,1,other,services,3,1,yes,yes,2,1,1,0,0
368,F,2,3,at_home,services,2,0,yes,yes,2,3,4,0,0
369,F,4,4,other,teacher,3,0,yes,yes,2,2,5,10,1
370,F,3,2,services,services,2,2,yes,no,2,2,3,4,0
371,M,1,2,at_home,services,3,0,no,yes,3,3,3,3,1
372,F,2,2,other,at_home,1,0,yes,no,4,3,3,8,1
373,F,1,2,other,other,1,0,yes,yes,5,5,1,14,0
374,F,4,4,other,other,2,0,yes,yes,4,4,1,0,1
375,F,1,1,other,other,4,0,yes,yes,3,2,4,2,0
376,F,4,2,health,other,2,2,yes,yes,4,3,3,4,1
377,F,4,4,teacher,services,1,0,yes,yes,4,3,2,4,0
378,F,3,3,other,other,1,0,yes,yes,1,3,1,0,1
379,F,3,1,at_home,other,1,0,yes,yes,5,4,1,17,0
380,M,4,4,teacher,teacher,1,0,yes,yes,2,4,2,4,1
381,M,2,1,other,other,2,0,yes,yes,4,3,5,5,0
382,M,2,3,other,services,2,0,yes,yes,4,3,3,2,0
383,M,1,1,other,services,2,1,yes,no,3,2,5,0,0
384,M,4,2,other,other,2,1,yes,no,4,3,3,14,0
385,F,2,2,at_home,other,2,0,yes,no,3,3,4,2,0
386,F,4,4,teacher,at_home,3,0,yes,yes,4,3,5,7,0
387,F,2,3,services,other,1,1,yes,yes,4,2,5,0,0
388,F,3,1,teacher,services,1,0,yes,yes,3,4,1,0,0
389,F,1,1,other,other,2,1,yes,no,1,1,5,0,0
390,M,2,2,services,services,1,2,yes,no,5,4,4,11,0
391,M,3,1,services,services,2,0,yes,yes,4,5,2,3,1
392,M,1,1,other,other,1,3,yes,no,5,3,3,3,0
393,M,3,2,services,other,3,0,yes,yes,4,1,5,0,0
394,M,1,1,other,at_home,1,0,yes,yes,2,3,5,5,0
