sex,traveltime,failures,absences,G1,G3_class
M,1,1,19,11,0
F,2,0,1,11,1
F,2,0,4,6,0
F,1,0,4,8,1
M,1,0,2,16,1
F,1,0,5,19,1
F,1,0,6,18,1
M,1,0,6,14,1
M,1,0,9,14,1
M,1,0,11,16,1
F,1,0,0,19,1
F,1,1,12,14,1
F,2,0,6,23,1
M,2,0,8,17,1
M,1,0,4,16,1
F,2,0,0,7,0
F,2,0,10,8,0
F,1,0,0,14,1
M,1,0,5,15,1
F,1,0,14,16,1
M,2,0,0,13,0
F,2,0,0,11,1
F,1,0,0,14,1
M,1,1,20,16,1
F,1,1,8,11,1
M,1,0,0,12,1
M,2,1,38,4,0
M,1,1,0,19,1
F,1,1,18,7,0
F,1,1,0,6,0
F,3,0,20,11,1
M,1,1,3,8,1
F,2,1,22,12,1
F,1,2,14,11,1
F,1,1,40,11,1
F,2,0,0,10,0
F,1,0,9,6,0
F,1,0,0,11,0
F,1,0,2,7,1
F,1,0,23,12,1
F,1,0,12,6,0
F,1,0,3,15,1
F,1,0,1,7,1
F,2,0,0,21,1
M,1,0,3,13,1
M,1,0,3,18,1
M,4,0,8,10,0
F,1,0,7,10,0
F,2,0,4,12,1
M,1,0,2,5,0
F,1,0,7,16,1
F,1,0,0,11,0
F,1,0,0,5,0
F,2,0,0,13,0
F,1,0,16,18,1
F,1,1,12,11,1
F,1,0,0,3,0
F,1,0,7,18,1
F,1,0,4,7,0
F,1,1,4,13,1
M,1,1,0,6,0
M,1,0,11,16,1
F,1,1,0,13,0
F,1,0,4,15,0
F,1,0,7,10,1
M,1,0,9,17,1
M,1,0,0,8,0
F,1,0,0,15,1
M,2,1,10,13,1
M,3,3,8,5,0
M,2,0,2,15,1
M,1,1,7,10,0
M,3,1,4,9,0
M,2,0,4,17,1
F,1,0,0,7,0
F,2,0,4,11,1
F,2,0,2,9,1
M,2,0,4,9,0
F,2,0,0,19,1
F,3,0,0,17,1
M,2,1,2,10,1
F,2,0,0,16,0
F,1,0,0,17,1
F,2,0,0,9,1
M,2,0,4,15,0
M,2,0,0,15,1
F,3,1,0,9,0
F,2,0,0,14,0
F,3,0,10,11,1
F,2,2,4,8,0
M,3,0,3,18,1
F,1,0,8,13,1
F,1,0,14,7,0
F,2,0,0,22,1
F,4,0,2,5,0
F,2,2,4,13,1
F,1,0,4,8,0
F,1,0,0,18,1
F,1,0,17,9,0
M,1,0,4,16,1
M,2,0,5,5,0
M,2,0,2,12,0
M,2,1,0,9,0
M,2,1,14,5,0
F,2,0,2,6,0
F,3,0,7,7,0
F,1,1,0,11,0
F,1,0,0,8,0
F,2,1,0,10,0
M,1,2,11,6,0
M,2,0,3,10,1
M,1,3,3,13,0
M,3,0,0,14,0
M,1,0,5,8,0
