,sex,failures,Fedu,Medu,Fjob,Mjob,health,famsup,schoolsup,age,Walc,higher,studytime,activities,G3_class,guardian
83,M,0,2,2,services,services,4,no,no,15,3,yes,2,yes,1,mother
84,F,0,1,1,other,other,4,yes,no,15,3,yes,2,yes,0,father
85,F,2,4,4,services,services,5,no,no,15,3,yes,2,no,0,father
86,F,0,2,2,other,at_home,2,yes,no,16,2,yes,2,no,0,mother
87,F,0,2,4,other,other,1,yes,no,15,3,yes,3,yes,1,mother
88,M,1,2,2,other,services,3,no,no,16,1,yes,2,yes,0,father
89,M,0,4,4,health,teacher,5,yes,no,16,5,yes,2,no,0,mother
90,F,0,3,3,other,other,4,yes,no,16,3,yes,3,no,0,mother
91,F,0,3,4,other,services,1,no,no,15,3,yes,1,yes,1,mother
92,F,0,1,3,other,other,2,yes,yes,16,3,yes,2,no,0,father
93,F,0,2,4,services,teacher,1,yes,no,16,1,yes,2,yes,0,mother
94,M,0,2,2,health,services,4,yes,no,15,1,yes,4,yes,1,mother
95,F,1,1,1,other,at_home,1,yes,yes,15,1,yes,4,yes,0,mother
96,M,0,3,4,other,services,4,yes,yes,16,1,yes,1,yes,1,mother
97,F,0,1,2,other,other,5,yes,no,16,1,yes,2,no,0,mother
98,F,0,4,4,other,other,1,no,no,16,2,yes,1,yes,1,mother
99,F,0,3,4,at_home,other,3,yes,yes,16,1,yes,3,no,0,mother
100,M,0,4,4,services,services,4,yes,yes,16,5,yes,1,yes,0,mother
101,M,0,4,4,teacher,services,4,yes,no,16,1,yes,3,yes,1,father
102,M,0,4,4,other,services,5,yes,no,15,1,yes,1,yes,1,mother
103,F,0,2,3,other,services,2,yes,yes,15,1,yes,2,no,0,mother
104,M,0,4,3,other,services,1,yes,no,15,1,yes,2,yes,1,mother
105,F,0,3,3,health,other,4,no,yes,15,1,yes,4,no,1,father
106,F,0,2,2,other,other,3,yes,yes,15,1,yes,4,no,0,mother
107,M,0,3,3,other,services,5,yes,no,16,1,yes,3,yes,1,father
108,M,0,4,4,other,other,1,yes,no,15,5,yes,4,yes,1,father
109,F,0,4,4,health,health,4,yes,no,16,1,yes,3,yes,1,mother
110,M,0,4,4,teacher,teacher,4,no,no,15,1,yes,1,yes,1,mother
111,F,1,3,3,other,services,2,yes,yes,16,1,yes,3,yes,0,father
112,F,1,2,2,other,at_home,5,no,yes,16,1,yes,2,yes,1,mother
113,M,0,2,4,other,teacher,3,no,no,15,1,yes,1,no,1,mother
114,M,0,1,2,services,health,5,no,no,15,1,yes,2,yes,0,mother
115,M,0,4,4,teacher,teacher,5,yes,no,16,2,yes,2,yes,1,father
116,M,0,4,4,teacher,other,2,yes,no,15,1,yes,2,yes,1,father
117,M,0,3,3,services,other,5,no,no,16,1,yes,1,yes,1,father
118,M,1,3,1,other,other,5,yes,no,17,4,yes,2,yes,0,father
119,M,0,4,3,other,other,4,no,no,15,2,yes,1,no,1,father
120,F,0,2,1,services,at_home,1,no,no,15,2,yes,2,no,1,mother
121,M,0,2,2,services,services,5,yes,no,15,2,yes,4,yes,1,father
122,F,0,4,2,health,other,5,yes,no,16,2,yes,2,yes,1,father
123,M,0,4,4,other,health,5,yes,no,16,4,yes,1,yes,1,mother
124,F,0,2,2,other,other,5,no,no,16,1,yes,2,no,0,mother
125,M,0,4,3,services,services,5,no,yes,15,2,yes,1,no,1,father
126,F,0,4,3,other,other,1,no,yes,15,1,yes,2,yes,1,mother
127,F,3,1,0,other,at_home,5,yes,no,19,1,no,2,no,0,other
128,M,2,2,2,other,services,4,yes,no,18,2,yes,1,yes,0,mother
129,M,0,4,4,teacher,teacher,4,no,no,16,5,yes,1,yes,1,mother
130,F,2,4,3,teacher,services,5,yes,no,15,2,yes,3,no,0,father
131,F,0,1,1,other,at_home,4,yes,no,15,2,yes,1,yes,0,mother
132,F,0,2,2,other,other,5,yes,no,17,3,yes,1,no,1,father
133,F,0,4,3,other,services,5,no,no,16,4,yes,1,no,1,father
134,M,0,4,3,teacher,at_home,5,yes,no,15,1,yes,2,no,0,mother
135,F,0,4,4,at_home,services,5,yes,no,15,1,yes,3,yes,0,mother
136,M,0,4,3,other,at_home,5,no,no,17,4,yes,2,no,0,mother
137,F,2,3,3,other,other,5,yes,no,16,1,yes,1,yes,0,other
138,M,1,1,1,other,services,5,no,no,16,3,yes,2,no,1,mother
139,F,0,4,4,teacher,teacher,5,no,no,15,1,yes,1,yes,1,mother
140,M,0,3,4,services,teacher,3,yes,yes,15,1,yes,4,no,0,father
141,M,2,2,2,services,services,2,yes,no,16,2,yes,1,yes,0,father
142,F,0,4,4,services,teacher,5,yes,no,15,1,yes,3,yes,1,mother
143,F,0,1,1,at_home,at_home,1,no,no,16,3,yes,1,no,1,mother
144,M,3,1,2,other,other,5,yes,no,17,2,yes,1,no,0,mother
145,F,0,1,1,services,other,5,yes,no,15,2,yes,2,no,1,father
146,F,3,2,3,services,health,3,yes,no,15,1,yes,2,no,0,father
147,F,0,2,1,other,at_home,5,yes,no,15,1,yes,2,no,1,mother
148,M,0,4,4,teacher,teacher,5,yes,no,16,1,no,1,no,0,mother
149,M,3,1,2,other,services,5,no,no,15,5,yes,1,no,0,mother
150,M,3,1,1,other,other,4,no,no,18,5,no,1,no,0,mother
151,M,1,1,2,other,at_home,5,no,no,16,5,yes,1,yes,1,mother
152,F,2,3,3,services,services,3,yes,no,15,3,yes,3,yes,0,other
153,M,3,2,3,at_home,services,4,yes,no,19,1,no,1,no,0,mother
154,F,0,4,4,teacher,other,4,yes,yes,17,1,yes,1,no,1,mother
155,M,0,3,2,services,at_home,1,no,yes,15,1,yes,2,yes,0,mother
156,M,0,2,1,other,other,5,no,no,17,3,yes,1,no,1,mother
157,F,3,1,1,other,at_home,4,yes,no,18,5,yes,1,yes,0,mother
158,M,0,2,2,other,at_home,3,no,no,16,2,yes,1,no,1,mother
159,M,1,3,3,services,other,5,yes,no,16,4,yes,2,no,1,father
160,M,2,1,2,other,at_home,5,no,no,17,2,no,1,yes,0,mother
161,M,2,2,3,other,other,3,yes,yes,15,4,yes,2,no,0,mother
162,M,1,2,1,other,other,5,no,no,16,4,yes,1,yes,0,mother
163,M,0,3,1,services,at_home,2,no,no,17,4,no,1,no,0,father
164,M,3,1,1,services,other,5,no,no,17,5,no,2,yes,0,mother
165,M,1,2,3,services,services,2,yes,no,16,1,no,1,yes,1,mother
166,M,0,2,2,other,other,4,no,no,16,4,no,2,no,0,father
167,F,0,2,4,services,health,3,no,no,16,1,yes,2,no,1,father
168,F,0,2,2,other,other,4,yes,no,16,1,yes,2,no,0,mother
169,F,0,4,4,health,health,3,yes,no,16,1,yes,2,no,1,mother
170,M,2,4,3,other,other,2,yes,no,16,4,yes,1,yes,0,father
171,M,0,0,1,other,other,3,yes,no,16,1,yes,2,yes,1,mother
172,M,0,4,4,other,teacher,5,yes,no,17,3,yes,2,yes,0,mother
173,F,3,3,1,services,at_home,3,no,no,16,1,yes,2,yes,0,mother
174,F,0,3,3,other,other,4,yes,no,16,1,yes,2,yes,0,mother
175,M,0,3,4,other,teacher,4,no,no,17,4,yes,2,yes,0,mother
176,F,0,2,2,other,services,5,no,no,16,4,yes,2,yes,1,mother
177,M,0,3,3,other,other,4,no,no,17,4,yes,2,yes,0,father
178,M,0,2,4,services,teacher,3,yes,no,16,4,yes,1,yes,0,mother
179,M,0,3,4,other,other,2,yes,no,17,1,yes,2,yes,1,mother
180,M,0,3,4,other,teacher,3,yes,no,16,3,yes,2,yes,0,mother
181,M,0,3,3,other,services,3,no,no,16,2,yes,2,yes,1,mother
182,F,0,4,2,services,services,5,yes,no,17,3,yes,2,yes,1,father
183,F,0,3,3,other,other,1,yes,no,17,3,yes,2,yes,0,mother
184,F,0,2,3,other,other,1,yes,no,16,2,yes,2,no,1,mother
185,M,0,3,3,services,services,4,yes,no,17,3,yes,2,yes,1,mother
186,M,0,2,1,services,services,3,yes,no,16,2,yes,1,yes,1,mother
187,M,0,1,2,other,other,5,no,no,16,2,yes,2,yes,1,mother
188,F,0,3,3,other,health,3,yes,no,17,3,yes,2,no,0,mother
189,M,0,2,1,other,at_home,3,no,no,17,5,yes,2,no,0,mother
190,F,0,3,2,services,services,2,no,no,16,1,yes,2,no,1,mother
191,F,0,1,1,services,at_home,3,no,no,17,1,yes,2,yes,0,mother
192,M,0,2,1,services,at_home,5,no,no,17,5,yes,2,yes,0,other
193,M,0,3,3,services,services,5,yes,no,16,4,yes,1,yes,0,mother
194,M,0,3,2,other,other,3,no,no,16,1,yes,1,no,1,father
195,F,0,4,2,services,services,5,no,no,17,1,yes,2,yes,1,father
196,M,0,4,4,teacher,services,5,no,no,17,2,yes,1,no,1,mother
197,M,0,3,3,other,teacher,3,yes,no,16,5,yes,1,yes,0,father
198,F,1,4,4,teacher,services,2,yes,no,17,3,yes,1,no,1,mother
199,F,0,4,4,teacher,teacher,3,yes,no,16,2,yes,2,no,0,mother
200,F,0,3,4,other,health,2,yes,no,16,5,yes,2,yes,1,mother
201,F,0,3,2,other,other,4,yes,yes,16,3,yes,2,yes,0,mother
202,F,0,1,1,other,other,1,yes,no,17,3,yes,2,no,0,mother
203,F,0,2,2,other,other,3,yes,no,17,2,yes,1,no,0,mother
204,F,0,2,2,services,services,5,yes,no,16,1,yes,4,yes,1,mother
205,F,1,4,3,services,at_home,5,yes,no,17,4,yes,3,no,0,mother
206,F,3,1,3,other,services,4,yes,no,16,2,yes,2,no,0,mother
207,F,0,3,4,other,teacher,1,no,no,16,1,yes,2,yes,1,mother
208,F,0,1,1,other,at_home,5,yes,no,16,4,yes,1,no,0,mother
209,F,0,3,4,other,teacher,4,yes,no,17,1,yes,3,yes,0,mother
210,F,0,3,3,other,other,3,yes,no,19,2,yes,4,yes,0,other
211,M,0,4,4,other,services,3,yes,no,17,5,yes,2,no,1,mother
212,F,0,2,2,other,other,4,yes,yes,16,1,yes,2,no,1,mother
213,M,1,2,2,other,services,5,yes,no,18,4,yes,2,yes,0,mother
214,F,0,4,4,other,services,3,yes,no,17,2,yes,1,no,0,mother
215,F,0,2,3,other,other,1,no,no,17,3,yes,2,no,1,mother
216,F,2,3,4,other,other,1,no,no,17,4,yes,2,no,0,mother
217,M,1,3,3,health,services,4,yes,no,18,4,yes,2,no,0,father
218,F,0,3,2,other,at_home,3,yes,no,17,4,yes,1,no,0,father
219,F,0,2,2,at_home,at_home,4,yes,no,17,1,yes,3,yes,0,mother
220,F,0,1,2,services,at_home,5,yes,no,17,2,yes,2,yes,0,mother
221,F,1,1,1,other,at_home,5,yes,no,17,1,yes,3,yes,0,mother
222,F,0,3,2,teacher,services,3,no,yes,16,1,yes,2,no,1,mother
223,M,0,2,2,other,other,4,yes,no,18,5,yes,2,no,1,mother
224,F,0,4,4,services,teacher,5,yes,no,16,1,yes,3,yes,1,mother
225,F,1,1,3,other,other,4,no,no,18,1,yes,2,yes,0,mother
226,F,0,2,3,other,other,3,no,no,17,3,yes,2,yes,1,mother
227,M,0,3,2,services,services,3,yes,no,17,3,yes,2,no,1,father
228,M,0,1,2,other,at_home,3,yes,yes,18,5,yes,2,yes,0,mother
229,F,0,1,2,other,other,3,no,no,17,2,yes,3,yes,1,mother
230,F,0,3,4,other,health,3,no,no,17,2,yes,2,yes,1,father
231,M,0,2,2,other,other,1,yes,no,17,1,yes,2,yes,1,father
232,M,0,4,4,teacher,teacher,2,yes,yes,17,3,yes,2,yes,0,mother
233,M,0,4,4,other,health,1,yes,no,16,4,yes,2,yes,1,father
234,M,0,1,1,other,other,5,yes,no,16,1,yes,2,no,0,mother
235,M,0,2,3,other,at_home,2,no,no,16,3,yes,3,yes,0,mother
236,M,0,2,2,other,other,4,no,no,17,5,yes,2,yes,1,father
237,F,0,1,2,other,other,5,no,no,16,1,yes,1,no,1,mother
238,F,0,1,2,services,at_home,3,no,no,17,1,yes,2,yes,1,mother
239,M,1,2,2,services,other,2,no,no,18,5,no,2,no,0,father
240,M,0,3,4,other,health,5,no,no,17,4,yes,2,yes,1,mother
241,M,0,4,4,other,teacher,4,yes,no,17,3,yes,2,no,1,mother
242,M,0,3,4,other,teacher,3,no,no,16,1,yes,1,yes,0,mother
243,M,0,4,4,services,services,5,no,no,16,2,yes,1,yes,1,mother
244,F,0,1,2,other,other,3,yes,no,18,1,yes,3,no,0,other
245,M,0,1,2,other,other,4,no,no,16,1,yes,1,no,1,mother
246,M,0,3,2,other,other,2,no,no,17,1,yes,1,no,1,father
247,M,3,1,3,services,services,1,no,no,22,5,no,1,no,0,mother
248,M,1,3,3,services,other,5,yes,no,18,3,yes,2,no,0,mother
249,M,0,2,0,other,other,5,no,no,16,4,yes,1,no,1,mother
250,M,1,2,3,other,services,5,no,no,18,4,no,1,no,0,mother
251,M,0,3,3,other,at_home,2,yes,yes,16,3,yes,2,no,0,other
252,M,1,1,2,services,services,5,no,no,18,5,no,1,no,0,mother
253,M,0,1,2,other,other,3,no,no,16,3,yes,1,yes,0,mother
254,M,0,1,2,other,other,5,no,no,17,4,yes,1,no,1,mother
255,M,1,1,1,other,health,5,yes,no,17,2,yes,1,yes,0,mother
256,F,0,2,4,services,teacher,4,yes,no,17,1,yes,4,yes,1,mother
257,M,0,3,4,at_home,services,1,yes,no,19,1,yes,2,no,1,mother
258,M,0,1,2,other,other,4,no,no,18,2,yes,2,yes,1,mother
259,F,0,2,2,services,services,2,no,no,17,1,yes,4,yes,0,father
260,F,0,3,4,other,services,2,yes,no,18,3,yes,2,no,1,father
261,M,0,3,4,other,teacher,3,yes,no,18,1,yes,2,no,0,mother
262,M,0,2,3,other,other,3,no,no,18,1,yes,3,yes,1,mother
263,F,0,3,3,other,other,4,no,no,17,1,yes,3,yes,0,mother
264,F,0,2,2,services,at_home,3,yes,no,18,1,yes,3,yes,0,mother
265,M,0,4,3,other,other,1,yes,no,18,4,yes,2,yes,1,mother
266,M,0,1,3,other,services,5,no,no,17,4,yes,2,yes,0,mother
267,F,0,4,4,other,teacher,4,no,no,18,2,yes,2,yes,1,mother
268,M,0,2,4,other,health,5,yes,no,18,3,yes,2,yes,0,father
269,F,0,1,2,other,other,3,yes,no,18,2,no,2,no,0,mother
270,F,2,3,3,services,other,5,yes,no,19,3,yes,2,yes,0,other
271,F,0,3,2,services,other,2,yes,no,18,3,yes,4,yes,1,father
272,F,0,1,1,other,other,3,yes,no,18,1,yes,2,no,1,mother
273,M,0,2,1,at_home,at_home,1,yes,no,17,2,yes,2,yes,1,mother
274,F,0,4,2,health,at_home,1,yes,no,17,1,yes,2,no,0,mother
275,F,0,2,2,other,services,5,yes,yes,17,3,yes,2,no,1,mother
276,F,0,2,3,services,other,5,no,no,18,1,no,2,no,0,mother
277,M,0,4,4,services,teacher,3,no,no,18,4,yes,1,yes,0,mother
278,F,1,4,4,health,health,4,yes,yes,18,1,yes,2,yes,0,father
279,M,0,3,4,services,teacher,1,no,no,18,2,yes,1,yes,0,mother
280,M,0,1,4,other,services,5,no,no,17,4,yes,1,yes,0,mother
281,M,1,2,3,services,teacher,3,no,no,17,4,yes,1,no,0,mother
282,F,0,1,1,other,at_home,3,yes,no,18,1,yes,4,yes,1,mother
283,F,0,1,1,other,other,4,no,yes,18,1,yes,2,yes,0,mother
284,F,0,2,2,other,other,5,yes,no,17,2,yes,2,no,1,mother
285,M,0,1,1,other,other,4,no,no,17,2,yes,2,no,1,father
286,F,0,2,2,at_home,at_home,2,yes,no,18,2,yes,3,no,1,mother
287,F,0,1,1,teacher,services,3,yes,no,17,1,yes,3,no,1,mother
288,M,0,1,2,services,services,2,no,no,18,3,yes,3,yes,1,mother
289,M,0,4,4,teacher,teacher,2,yes,no,18,1,yes,2,yes,1,mother
290,M,0,2,4,other,teacher,5,yes,no,18,4,yes,2,yes,1,mother
291,F,0,3,4,services,health,3,yes,no,17,2,yes,3,no,1,mother
292,F,1,1,2,at_home,services,5,no,no,18,1,yes,2,no,1,mother
293,F,0,1,3,other,services,3,yes,no,17,1,yes,4,no,1,mother
294,M,0,2,3,other,services,4,yes,no,18,1,yes,3,yes,1,mother
295,M,0,3,3,other,health,5,yes,no,17,3,yes,1,no,1,mother
296,F,0,4,4,other,health,2,yes,no,19,3,yes,2,yes,0,other
297,F,0,3,4,other,other,2,yes,no,18,2,yes,2,no,0,other
298,F,0,3,4,other,other,3,yes,no,18,1,yes,4,no,1,father
299,M,0,4,4,teacher,teacher,1,yes,no,18,2,yes,1,no,1,mother
300,F,0,4,4,other,health,4,yes,no,18,1,yes,2,no,1,mother
301,M,0,4,4,teacher,other,5,no,no,17,2,yes,1,no,0,father
302,F,0,2,4,other,other,3,yes,no,17,1,yes,3,no,1,mother
303,F,0,2,3,health,health,5,yes,no,17,2,yes,4,yes,1,father
304,M,1,3,3,other,other,3,yes,no,19,1,yes,2,yes,1,other
305,F,1,4,2,at_home,services,3,yes,no,18,1,yes,2,yes,1,other
306,M,0,2,3,other,services,5,no,no,20,1,yes,1,yes,1,other
307,M,1,4,4,services,teacher,4,yes,no,19,1,yes,1,no,0,other
308,M,1,3,3,services,other,5,no,no,19,2,yes,2,yes,1,father
309,F,1,1,1,other,at_home,3,yes,yes,19,3,yes,2,yes,0,other
310,F,1,2,1,services,services,3,no,no,19,2,yes,2,yes,0,other
311,F,0,1,2,other,at_home,2,yes,no,19,1,no,2,no,1,other
312,M,1,2,1,services,other,4,no,no,19,2,yes,2,no,1,other
313,F,1,2,3,other,services,1,yes,no,19,2,yes,2,no,1,other
314,F,2,1,1,health,at_home,3,no,no,19,1,yes,3,no,1,other
315,F,1,3,2,other,other,3,no,no,19,1,yes,3,no,1,other
316,F,0,1,2,other,services,1,yes,no,18,2,yes,2,yes,0,mother
317,F,0,3,4,other,other,5,yes,no,18,1,yes,3,yes,0,mother
318,F,0,4,3,services,at_home,5,yes,no,17,5,yes,3,yes,0,father
319,F,0,4,4,other,teacher,5,yes,no,18,3,yes,2,no,1,mother
320,F,0,3,4,services,services,5,yes,no,17,2,yes,2,no,1,mother
321,F,0,2,2,other,other,3,yes,no,17,1,yes,2,no,0,mother
322,F,0,2,2,services,services,3,yes,no,17,2,yes,3,yes,1,mother
323,F,0,1,3,services,services,5,yes,no,17,3,yes,3,no,1,father
324,F,0,2,0,at_home,at_home,2,no,no,17,3,yes,3,no,1,father
325,M,0,4,4,other,other,3,no,no,18,2,yes,3,yes,1,mother
326,M,0,3,3,services,other,5,no,no,17,5,yes,1,yes,1,mother
327,M,0,2,2,other,services,4,yes,no,17,5,yes,1,no,0,mother
328,F,0,4,4,services,teacher,4,yes,no,17,3,yes,3,yes,0,mother
329,F,0,4,4,teacher,teacher,4,yes,no,17,2,yes,3,no,1,mother
330,M,0,2,2,other,other,5,yes,no,18,4,yes,4,yes,0,mother
331,F,0,4,2,other,at_home,5,yes,no,17,1,yes,3,no,1,father
332,F,0,3,3,services,services,4,no,no,18,1,yes,2,yes,0,mother
333,F,0,2,2,other,other,2,no,no,18,1,yes,2,yes,0,other
334,F,0,2,2,other,at_home,4,no,no,18,1,yes,4,yes,0,mother
335,F,0,4,3,other,services,5,no,no,17,3,yes,3,no,1,mother
336,F,1,1,3,at_home,services,5,no,no,19,2,yes,3,no,1,other
337,F,0,2,3,other,other,2,yes,no,17,3,yes,2,no,0,mother
338,F,0,3,3,services,services,1,yes,no,18,1,yes,4,no,1,mother
339,F,0,2,3,other,other,2,yes,no,17,3,yes,2,no,0,mother
340,F,1,1,2,services,services,3,no,no,19,3,yes,3,yes,1,other
341,M,1,4,4,services,teacher,2,yes,no,18,2,yes,2,yes,0,father
342,M,0,4,3,other,services,5,no,no,18,3,yes,2,yes,1,mother
343,F,1,2,2,at_home,at_home,4,yes,no,17,2,yes,2,no,0,father
344,F,0,3,2,other,at_home,3,yes,no,18,2,yes,3,no,0,mother
345,F,0,2,3,services,other,1,no,no,18,3,yes,3,no,1,mother
346,M,0,3,4,services,teacher,4,no,no,18,2,yes,3,no,1,mother
347,M,0,3,4,other,teacher,5,yes,no,18,3,yes,3,no,0,mother
348,F,0,3,4,other,health,4,yes,no,17,3,yes,3,yes,1,mother
349,M,1,2,3,other,other,5,yes,no,18,5,yes,1,no,1,mother
350,M,3,1,1,services,other,2,no,no,19,3,yes,2,no,0,other
351,M,0,3,3,other,health,3,yes,no,17,3,yes,2,no,1,mother
352,M,1,3,1,services,at_home,3,no,no,18,3,no,1,no,0,mother
353,M,1,1,1,other,other,5,yes,no,19,3,yes,1,no,0,other
354,M,0,3,4,other,services,2,yes,no,17,3,yes,2,yes,1,mother
355,F,0,3,3,services,services,5,yes,no,18,1,yes,2,no,0,father
356,F,0,4,4,services,teacher,5,yes,no,17,2,yes,2,yes,1,father
357,F,0,2,3,other,services,5,no,no,17,2,yes,2,no,1,mother
358,M,0,1,1,services,other,3,no,no,18,2,yes,1,no,0,father
359,F,0,1,1,services,at_home,4,no,no,18,1,yes,3,no,1,father
360,F,0,4,1,other,at_home,5,no,no,18,4,yes,2,no,1,mother
361,M,1,1,1,other,at_home,5,no,no,18,3,no,2,yes,1,mother
362,F,0,3,3,services,services,3,yes,no,18,3,yes,2,no,0,mother
363,F,0,4,4,at_home,at_home,1,yes,no,17,1,yes,2,yes,1,mother
364,F,0,2,1,services,other,3,no,no,17,2,yes,2,no,1,father
365,M,0,3,1,other,at_home,3,yes,no,18,4,yes,2,no,0,mother
366,M,0,4,4,services,teacher,5,no,no,18,2,yes,3,no,1,mother
