sex,failures,Fedu,Medu,Fjob,Mjob,famsup,schoolsup,age,higher,activities,G3_class,guardian,studytime_bin,famrel_bin,freetime_bin,goout_bin,Walc_bin,health_bin
M,0,4,3,other,services,yes,no,15,yes,yes,1,mother,0,1,1,1,0,0
F,0,3,3,health,other,no,yes,15,yes,no,1,father,1,1,0,0,0,1
F,0,2,2,other,other,yes,yes,15,yes,no,0,mother,1,1,0,0,0,0
M,0,3,3,other,services,yes,no,16,yes,yes,1,father,1,1,0,0,0,1
M,0,4,4,other,other,yes,no,15,yes,yes,1,father,1,0,0,1,1,0
F,0,4,4,health,health,yes,no,16,yes,yes,1,mother,1,1,1,1,0,1
M,0,4,4,teacher,teacher,no,no,15,yes,yes,1,mother,0,1,1,0,0,1
F,1,3,3,other,services,yes,yes,16,yes,yes,0,father,1,1,0,0,0,0
F,1,2,2,other,at_home,no,yes,16,yes,yes,1,mother,0,0,0,0,0,1
M,0,2,4,other,teacher,no,no,15,yes,no,1,mother,0,0,1,0,0,0
M,0,1,2,services,health,no,no,15,yes,yes,0,mother,0,1,1,0,0,1
M,0,4,4,teacher,teacher,yes,no,16,yes,yes,1,father,0,1,1,1,0,1
M,0,4,4,teacher,other,yes,no,15,yes,yes,1,father,0,1,1,0,0,0
M,0,3,3,services,other,no,no,16,yes,yes,1,father,0,1,1,0,0,1
M,1,3,1,other,other,yes,no,17,yes,yes,0,father,0,1,0,1,1,1
M,0,4,3,other,other,no,no,15,yes,no,1,father,0,0,1,0,0,1
F,0,2,1,services,at_home,no,no,15,yes,no,1,mother,0,0,0,0,0,0
M,0,2,2,services,services,yes,no,15,yes,yes,1,father,1,1,1,1,0,1
F,0,4,2,health,other,yes,no,16,yes,yes,1,father,0,1,0,0,0,1
M,0,4,4,other,health,yes,no,16,yes,yes,1,mother,0,0,1,1,1,1
F,0,2,2,other,other,no,no,16,yes,no,0,mother,0,1,1,1,0,1
M,0,4,3,services,services,no,yes,15,yes,no,1,father,0,1,1,1,0,1
F,0,4,3,other,other,no,yes,15,yes,yes,1,mother,0,1,0,0,0,0
F,3,1,0,other,at_home,yes,no,19,no,no,0,other,0,0,1,0,0,1
M,2,2,2,other,services,yes,no,18,yes,yes,0,mother,0,0,0,0,0,1
M,0,4,4,teacher,teacher,no,no,16,yes,yes,1,mother,0,0,1,1,1,1
F,2,4,3,teacher,services,yes,no,15,yes,no,0,father,1,1,0,0,0,1
F,0,1,1,other,at_home,yes,no,15,yes,yes,0,mother,0,1,0,0,0,1
F,0,2,2,other,other,yes,no,17,yes,no,1,father,0,0,1,1,0,1
F,0,4,3,other,services,no,no,16,yes,no,1,father,0,0,0,0,1,1
M,0,4,3,teacher,at_home,yes,no,15,yes,no,0,mother,0,1,0,0,0,1
F,0,4,4,at_home,services,yes,no,15,yes,yes,0,mother,1,1,0,0,0,1
M,0,4,3,other,at_home,no,no,17,yes,no,0,mother,0,1,1,1,1,1
F,2,3,3,other,other,yes,no,16,yes,yes,0,other,0,1,0,0,0,1
M,1,1,1,other,services,no,no,16,yes,no,1,mother,0,1,1,1,0,1
F,0,4,4,teacher,teacher,no,no,15,yes,yes,1,mother,0,1,0,0,0,1
M,0,3,4,services,teacher,yes,yes,15,yes,no,0,father,1,0,0,0,0,0
M,2,2,2,services,services,yes,no,16,yes,yes,0,father,0,0,0,0,0,0
F,0,4,4,services,teacher,yes,no,15,yes,yes,1,mother,1,1,0,0,0,1
F,0,1,1,at_home,at_home,no,no,16,yes,no,1,mother,0,0,1,1,0,0
M,3,1,2,other,other,yes,no,17,yes,no,0,mother,0,1,1,1,0,1
F,0,1,1,services,other,yes,no,15,yes,no,1,father,0,1,1,0,0,1
F,3,2,3,services,health,yes,no,15,yes,no,0,father,0,0,0,0,0,0
F,0,2,1,other,at_home,yes,no,15,yes,no,1,mother,0,1,0,0,0,1
M,0,4,4,teacher,teacher,yes,no,16,no,no,0,mother,0,0,0,0,0,1
M,3,1,2,other,services,no,no,15,yes,no,0,mother,0,1,1,1,1,1
M,3,1,1,other,other,no,no,18,no,no,0,mother,0,0,0,1,1,1
M,1,1,2,other,at_home,no,no,16,yes,yes,1,mother,0,1,1,1,1,1
F,2,3,3,services,services,yes,no,15,yes,yes,0,other,1,1,0,0,0,0
M,3,2,3,at_home,services,yes,no,19,no,no,0,mother,0,1,1,1,0,1
F,0,4,4,teacher,other,yes,yes,17,yes,no,1,mother,0,1,0,0,0,1
M,0,3,2,services,at_home,no,yes,15,yes,yes,0,mother,0,1,1,1,0,0
M,0,2,1,other,other,no,no,17,yes,no,1,mother,0,0,0,0,0,1
F,3,1,1,other,at_home,yes,no,18,yes,yes,0,mother,0,1,0,1,1,1
M,0,2,2,other,at_home,no,no,16,yes,no,1,mother,0,1,0,0,0,0
M,1,3,3,services,other,yes,no,16,yes,no,1,father,0,1,1,1,1,1
M,2,1,2,other,at_home,no,no,17,no,yes,0,mother,0,0,0,0,0,1
M,2,2,3,other,other,yes,yes,15,yes,no,0,mother,0,1,1,1,1,0
M,1,2,1,other,other,no,no,16,yes,yes,0,mother,0,1,1,1,1,1
M,0,3,1,services,at_home,no,no,17,no,no,0,father,0,1,0,0,1,0
M,3,1,1,services,other,no,no,17,no,yes,0,mother,0,1,0,1,1,1
M,1,2,3,services,services,yes,no,16,no,yes,1,mother,0,1,1,0,0,0
M,0,2,2,other,other,no,no,16,no,no,0,father,0,1,0,1,1,1
F,0,2,4,services,health,no,no,16,yes,no,1,father,0,1,0,0,0,0
F,0,2,2,other,other,yes,no,16,yes,no,0,mother,0,1,0,1,0,1
F,0,4,4,health,health,yes,no,16,yes,no,1,mother,0,1,1,0,0,0
M,2,4,3,other,other,yes,no,16,yes,yes,0,father,0,0,1,1,1,0
M,0,0,1,other,other,yes,no,16,yes,yes,1,mother,0,1,0,0,0,0
M,0,4,4,other,teacher,yes,no,17,yes,yes,0,mother,0,1,1,1,0,1
F,3,3,1,services,at_home,no,no,16,yes,yes,0,mother,0,1,0,1,0,0
F,0,3,3,other,other,yes,no,16,yes,yes,0,mother,0,1,1,1,0,1
M,0,3,4,other,teacher,no,no,17,yes,yes,0,mother,0,1,1,1,1,1
F,0,2,2,other,services,no,no,16,yes,yes,1,mother,0,0,1,1,1,1
M,0,3,3,other,other,no,no,17,yes,yes,0,father,0,1,0,1,1,1
M,0,2,4,services,teacher,yes,no,16,yes,yes,0,mother,0,1,0,0,1,0
M,0,3,4,other,other,yes,no,17,yes,yes,1,mother,0,1,0,0,0,0
M,0,3,4,other,teacher,yes,no,16,yes,yes,0,mother,0,0,1,0,0,0
M,0,3,3,other,services,no,no,16,yes,yes,1,mother,0,1,0,0,0,0
F,0,4,2,services,services,yes,no,17,yes,yes,1,father,0,1,1,0,0,1
F,0,3,3,other,other,yes,no,17,yes,yes,0,mother,0,1,0,0,0,0
F,0,2,3,other,other,yes,no,16,yes,no,1,mother,0,0,0,0,0,0
M,0,3,3,services,services,yes,no,17,yes,yes,1,mother,0,1,0,1,0,1
M,0,2,1,services,services,yes,no,16,yes,yes,1,mother,0,0,0,0,0,0
M,0,1,2,other,other,no,no,16,yes,yes,1,mother,0,1,0,0,0,1
F,0,3,3,other,health,yes,no,17,yes,no,0,mother,0,0,0,0,0,0
M,0,2,1,other,at_home,no,no,17,yes,no,0,mother,0,0,0,0,1,0
F,0,3,2,services,services,no,no,16,yes,no,1,mother,0,1,0,0,0,0
F,0,1,1,services,at_home,no,no,17,yes,yes,0,mother,0,1,0,0,0,0
M,0,2,1,services,at_home,no,no,17,yes,yes,0,other,0,1,1,1,1,1
M,0,3,3,services,services,yes,no,16,yes,yes,0,mother,0,1,0,0,1,1
M,0,3,2,other,other,no,no,16,yes,no,1,father,0,1,0,0,0,0
F,0,4,2,services,services,no,no,17,yes,yes,1,father,0,1,0,0,0,1
M,0,4,4,teacher,services,no,no,17,yes,no,1,mother,0,1,0,0,0,1
M,0,3,3,other,teacher,yes,no,16,yes,yes,0,father,0,0,0,1,1,0
F,1,4,4,teacher,services,yes,no,17,yes,no,1,mother,0,1,0,1,0,0
F,0,4,4,teacher,teacher,yes,no,16,yes,no,0,mother,0,1,1,0,0,0
F,0,3,4,other,health,yes,no,16,yes,yes,1,mother,0,1,0,1,1,0
F,0,3,2,other,other,yes,yes,16,yes,yes,0,mother,0,1,1,0,0,1
F,0,1,1,other,other,yes,no,17,yes,no,0,mother,0,1,1,1,0,0
F,0,2,2,other,other,yes,no,17,yes,no,0,mother,0,1,0,0,0,0
F,0,2,2,services,services,yes,no,16,yes,yes,1,mother,1,1,0,1,0,1
F,1,4,3,services,at_home,yes,no,17,yes,no,0,mother,1,1,1,0,1,1
F,3,1,3,other,services,yes,no,16,yes,no,0,mother,0,0,0,0,0,1
F,0,3,4,other,teacher,no,no,16,yes,yes,1,mother,0,0,0,0,0,0
F,0,1,1,other,at_home,yes,no,16,yes,no,0,mother,0,1,0,0,1,1
F,0,3,4,other,teacher,yes,no,17,yes,yes,0,mother,1,1,1,0,0,1
F,0,3,3,other,other,yes,no,19,yes,yes,0,other,1,1,0,0,0,0
M,0,4,4,other,services,yes,no,17,yes,no,1,mother,0,1,0,1,1,0
F,0,2,2,other,other,yes,yes,16,yes,no,1,mother,0,0,0,1,0,1
M,1,2,2,other,services,yes,no,18,yes,yes,0,mother,0,1,1,1,1,1
F,0,4,4,other,services,yes,no,17,yes,no,0,mother,0,1,0,0,0,0
F,0,2,3,other,other,no,no,17,yes,no,1,mother,0,1,1,1,0,0
F,2,3,4,other,other,no,no,17,yes,no,0,mother,0,0,1,1,1,0
M,1,3,3,health,services,yes,no,18,yes,no,0,father,0,0,0,1,1,1
F,0,3,2,other,at_home,yes,no,17,yes,no,0,father,0,0,0,0,1,0
F,0,2,2,at_home,at_home,yes,no,17,yes,yes,0,mother,1,1,0,0,0,1
F,0,1,2,services,at_home,yes,no,17,yes,yes,0,mother,0,1,0,1,0,1
F,1,1,1,other,at_home,yes,no,17,yes,yes,0,mother,1,1,0,1,0,1
F,0,3,2,teacher,services,no,yes,16,yes,no,1,mother,0,0,0,0,0,0
M,0,2,2,other,other,yes,no,18,yes,no,1,mother,0,0,0,0,1,1
F,0,4,4,services,teacher,yes,no,16,yes,yes,1,mother,1,1,0,0,0,1
F,1,1,3,other,other,no,no,18,yes,yes,0,mother,0,1,0,0,0,1
F,0,2,3,other,other,no,no,17,yes,yes,1,mother,0,1,0,1,0,0
M,0,3,2,services,services,yes,no,17,yes,no,1,father,0,1,0,0,0,0
M,0,1,2,other,at_home,yes,yes,18,yes,yes,0,mother,0,1,0,0,1,0
F,0,1,2,other,other,no,no,17,yes,yes,1,mother,1,0,0,0,0,0
F,0,3,4,other,health,no,no,17,yes,yes,1,father,0,0,0,0,0,0
M,0,2,2,other,other,yes,no,17,yes,yes,1,father,0,1,1,0,0,0
M,0,4,4,teacher,teacher,yes,yes,17,yes,yes,0,mother,0,1,1,1,0,0
M,0,4,4,other,health,yes,no,16,yes,yes,1,father,0,1,0,1,1,0
M,0,1,1,other,other,yes,no,16,yes,no,0,mother,0,0,1,0,0,1
M,0,2,3,other,at_home,no,no,16,yes,yes,0,mother,1,1,0,0,0,0
M,0,2,2,other,other,no,no,17,yes,yes,1,father,0,1,1,0,1,1
F,0,1,2,other,other,no,no,16,yes,no,1,mother,0,1,1,0,0,1
F,0,1,2,services,at_home,no,no,17,yes,yes,1,mother,0,0,0,0,0,0
M,1,2,2,services,other,no,no,18,no,no,0,father,0,1,1,1,1,0
M,0,3,4,other,health,no,no,17,yes,yes,1,mother,0,0,1,1,1,1
M,0,4,4,other,teacher,yes,no,17,yes,no,1,mother,0,0,0,0,0,1
M,0,3,4,other,teacher,no,no,16,yes,yes,0,mother,0,1,1,1,0,0
M,0,4,4,services,services,no,no,16,yes,yes,1,mother,0,1,0,0,0,1
F,0,1,2,other,other,yes,no,18,yes,no,0,other,1,1,1,1,0,0
M,0,1,2,other,other,no,no,16,yes,no,1,mother,0,1,0,0,0,1
M,0,3,2,other,other,no,no,17,yes,no,1,father,0,1,0,0,0,0
M,3,1,3,services,services,no,no,22,no,no,0,mother,0,1,1,1,1,0
M,1,3,3,services,other,yes,no,18,yes,no,0,mother,0,1,0,0,0,1
M,0,2,0,other,other,no,no,16,yes,no,1,mother,0,1,0,0,1,1
M,1,2,3,other,services,no,no,18,no,no,0,mother,0,1,1,1,1,1
M,0,3,3,other,at_home,yes,yes,16,yes,no,0,other,0,1,0,0,0,0
M,1,1,2,services,services,no,no,18,no,no,0,mother,0,0,0,1,1,1
M,0,1,2,other,other,no,no,16,yes,yes,0,mother,0,0,0,0,0,0
M,0,1,2,other,other,no,no,17,yes,no,1,mother,0,1,1,0,1,1
M,1,1,1,other,health,yes,no,17,yes,yes,0,mother,0,1,1,1,0,1
F,0,2,4,services,teacher,yes,no,17,yes,yes,1,mother,1,1,0,0,0,1
M,0,3,4,at_home,services,yes,no,19,yes,no,1,mother,0,1,0,0,0,0
M,0,1,2,other,other,no,no,18,yes,yes,1,mother,0,1,0,1,0,1
F,0,2,2,services,services,no,no,17,yes,yes,0,father,1,0,1,0,0,0
F,0,3,4,other,services,yes,no,18,yes,no,1,father,0,0,0,0,0,0
M,0,3,4,other,teacher,yes,no,18,yes,no,0,mother,0,1,0,0,0,0
M,0,2,3,other,other,no,no,18,yes,yes,1,mother,1,1,0,0,0,0
F,0,3,3,other,other,no,no,17,yes,yes,0,mother,1,0,0,0,0,1
F,0,2,2,services,at_home,yes,no,18,yes,yes,0,mother,1,1,0,0,0,0
M,0,4,3,other,other,yes,no,18,yes,yes,1,mother,0,1,0,1,1,0
M,0,1,3,other,services,no,no,17,yes,yes,0,mother,0,1,1,1,1,1
F,0,4,4,other,teacher,no,no,18,yes,yes,1,mother,0,1,0,1,0,1
M,0,2,4,other,health,yes,no,18,yes,yes,0,father,0,1,1,1,0,1
F,0,1,2,other,other,yes,no,18,no,no,0,mother,0,1,0,1,0,0
F,2,3,3,services,other,yes,no,19,yes,yes,0,other,0,1,0,1,0,1
F,0,3,2,services,other,yes,no,18,yes,yes,1,father,1,1,1,1,0,0
F,0,1,1,other,other,yes,no,18,yes,no,1,mother,0,1,1,0,0,0
M,0,2,1,at_home,at_home,yes,no,17,yes,yes,1,mother,0,0,1,0,0,0
F,0,4,2,health,at_home,yes,no,17,yes,no,0,mother,0,1,0,0,0,0
F,0,2,2,other,services,yes,yes,17,yes,no,1,mother,0,1,1,1,0,1
F,0,2,3,services,other,no,no,18,no,no,0,mother,0,1,0,0,0,1
M,0,4,4,services,teacher,no,no,18,yes,yes,0,mother,0,0,0,1,1,0
F,1,4,4,health,health,yes,yes,18,yes,yes,0,father,0,0,1,1,0,1
M,0,3,4,services,teacher,no,no,18,yes,yes,0,mother,0,1,0,0,0,0
M,0,1,4,other,services,no,no,17,yes,yes,0,mother,0,1,1,1,1,1
M,1,2,3,services,teacher,no,no,17,yes,no,0,mother,0,1,1,1,1,0
F,0,1,1,other,at_home,yes,no,18,yes,yes,1,mother,1,1,0,0,0,0
F,0,1,1,other,other,no,yes,18,yes,yes,0,mother,0,1,1,1,0,1
F,0,2,2,other,other,yes,no,17,yes,no,1,mother,0,1,1,1,0,1
M,0,1,1,other,other,no,no,17,yes,no,1,father,0,1,0,0,0,1
F,0,2,2,at_home,at_home,yes,no,18,yes,no,1,mother,1,1,0,0,0,0
F,0,1,1,teacher,services,yes,no,17,yes,no,1,mother,1,1,0,0,0,0
M,0,1,2,services,services,no,no,18,yes,yes,1,mother,1,1,0,1,0,0
M,0,4,4,teacher,teacher,yes,no,18,yes,yes,1,mother,0,1,1,0,0,0
M,0,2,4,other,teacher,yes,no,18,yes,yes,1,mother,0,1,0,0,1,1
F,0,3,4,services,health,yes,no,17,yes,no,1,mother,1,1,0,0,0,0
F,1,1,2,at_home,services,no,no,18,yes,no,1,mother,0,1,1,0,0,1
F,0,1,3,other,services,yes,no,17,yes,no,1,mother,1,0,0,0,0,0
M,0,2,3,other,services,yes,no,18,yes,yes,1,mother,1,1,1,0,0,1
M,0,3,3,other,health,yes,no,17,yes,no,1,mother,0,1,1,0,0,1
F,0,4,4,other,health,yes,no,19,yes,yes,0,other,0,0,0,1,0,0
F,0,3,4,other,other,yes,no,18,yes,no,0,other,0,1,1,1,0,0
F,0,3,4,other,other,yes,no,18,yes,no,1,father,1,1,0,0,0,0
M,0,4,4,teacher,teacher,yes,no,18,yes,no,1,mother,0,0,1,0,0,0
F,0,4,4,other,health,yes,no,18,yes,no,1,mother,0,1,0,1,0,1
M,0,4,4,teacher,other,no,no,17,yes,no,0,father,0,1,0,0,0,1
F,0,2,4,other,other,yes,no,17,yes,no,1,mother,1,1,0,0,0,0
F,0,2,3,health,health,yes,no,17,yes,yes,1,father,1,1,0,0,0,1
M,1,3,3,other,other,yes,no,19,yes,yes,1,other,0,1,1,1,0,0
F,1,4,2,at_home,services,yes,no,18,yes,yes,1,other,0,1,1,0,0,0
M,0,2,3,other,services,no,no,20,yes,yes,1,other,0,1,1,0,0,1
M,1,4,4,services,teacher,yes,no,19,yes,no,0,other,0,1,0,1,0,1
M,1,3,3,services,other,no,no,19,yes,yes,1,father,0,1,1,0,0,1
F,1,1,1,other,at_home,yes,yes,19,yes,yes,0,other,0,1,1,0,0,0
F,1,2,1,services,services,no,no,19,yes,yes,0,other,0,1,0,1,0,0
F,0,1,2,other,at_home,yes,no,19,no,no,1,other,0,0,1,0,0,0
M,1,2,1,services,other,no,no,19,yes,no,1,other,0,1,1,0,0,1
F,1,2,3,other,services,yes,no,19,yes,no,1,other,0,1,0,0,0,0
F,2,1,1,health,at_home,no,no,19,yes,no,1,other,1,1,0,0,0,0
F,1,3,2,other,other,no,no,19,yes,no,1,other,1,1,0,0,0,0
F,0,1,2,other,services,yes,no,18,yes,yes,0,mother,0,1,0,0,0,0
F,0,3,4,other,other,yes,no,18,yes,yes,0,mother,1,1,0,1,0,1
F,0,4,3,services,at_home,yes,no,17,yes,yes,0,father,1,1,0,1,1,1
F,0,4,4,other,teacher,yes,no,18,yes,no,1,mother,0,1,1,1,0,1
F,0,3,4,services,services,yes,no,17,yes,no,1,mother,0,1,0,0,0,1
F,0,2,2,other,other,yes,no,17,yes,no,0,mother,0,1,0,0,0,0
F,0,2,2,services,services,yes,no,17,yes,yes,1,mother,1,0,0,0,0,0
F,0,1,3,services,services,yes,no,17,yes,no,1,father,1,0,1,0,0,1
F,0,2,0,at_home,at_home,no,no,17,yes,no,1,father,1,0,0,0,0,0
M,0,4,4,other,other,no,no,18,yes,yes,1,mother,1,1,0,0,0,0
M,0,3,3,services,other,no,no,17,yes,yes,1,mother,0,1,0,1,1,1
M,0,2,2,other,services,yes,no,17,yes,no,0,mother,0,1,1,1,1,1
F,0,4,4,services,teacher,yes,no,17,yes,yes,0,mother,1,1,1,1,0,1
F,0,4,4,teacher,teacher,yes,no,17,yes,no,1,mother,1,1,0,0,0,1
M,0,2,2,other,other,yes,no,18,yes,yes,0,mother,1,1,1,1,1,1
F,0,4,2,other,at_home,yes,no,17,yes,no,1,father,1,1,1,0,0,1
F,0,3,3,services,services,no,no,18,yes,yes,0,mother,0,1,0,1,0,1
